add,R3,R1,R2 000000,R1,R2,R3,00000,100000
addu,R3,R1,R2 000000,R1,R2,R3,00000,100001
and,R3,R1,R2 000000,R1,R2,R3,00000,100100
nor,R3,R1,R2 000000,R1,R2,R3,00000,100111
or,R3,R1,R2 000000,R1,R2,R3,00000,100101
slt,R3,R1,R2 000000,R1,R2,R3,00000,101010
sltu,R3,R1,R2 000000,R1,R2,R3,00000,101011
sub,R3,R1,R2 000000,R1,R2,R3,00000,100010
subu,R3,R1,R2 000000,R1,R2,R3,00000,100011
xor,R3,R1,R2 000000,R1,R2,R3,00000,100110
addi,R2,R1,N1 001000,R1,R2,N1:16
addiu,R2,R1,N1 001001,R1,R2,N1:16
andi,R2,R1,N1 001100,R1,R2,N1:16
lui,R1,N1 001111,R2,R1,N1:16
ori,R2,R1,N1 001101,R1,R2,N1:16
slti,R2,R1,N1 001010,R1,R2,N1:16
sltiu,R2,R1,N1 001011,R1,R2,N1:16
xori,R2,R1,N1 001110,R1,R2,N1:16
sll,R3,R2,N1 000000,R1,R2,R3,N1:5,000000
sllv,R3,R2,R1 000000,R1,R2,R3,00000,000100
sra,R3,R2,N1 000000,00000,R2,R3,N1:5,000011
srav,R3,R2,R1 000000,R1,R2,R3,00000,000111
srl,R3,R2,N1 000000,R1,R2,R3,N1:5,000010
srlv,R3,R2,R1 000000,R1,R2,R3,00000,000110
beq,R1,R2,N1 000100,R1,R2,N1:16
bgez,R1,N1 000001,R1,00001,N1:16
bgezal,R1,N1 000001,R1,10001,N1:16
bgtz,R1,N1 000111,R1,00000,N1:16
blez,R1,N1 000110,R1,00000,N1:16
bltz,R1,N1 000001,R1,00000,N1:16
bltzall,R1,N1 000001,R1,10000,N1:16
bne,R1,R2,N1 000101,R1,R2,N1:16
break 000000,00000000000000000000,001101
j,N1 000010,N1:26
jal,N1 000010,N1:26
jr,R1 000000,R1,000000000000000,001000
mfc0,R1,R2 010000,00000,R1,R2,00000000000
mtc0,R1,R2 010000,00100,R1,R2,00000000000	
syscall 000000,00000000000000000000,001100
lb,R2,R1,N1 100000,R1,R2,N1:16
lbu,R2,R1,N1 100100,R1,R2,N1:16
lh,R2,R1,N1 100001,R1,R2,N1:16
lbu,R2,R1,N1 100101,R1,R2,N1:16
lw,R2,R1,N1 100011,R1,R2,N1:16
sb,R2,R1,N1 101000,R1,R2,N1:16
sh,R2,R1,N1 101001,R1,R2,N1:16
sw,R2,R1,N1 101011,R1,R2,N1:16
nop 00000000000000000000000000000000
